Ticker,Sector,IsFinanceSector,NetProfitNegative,EBITDA_Negative,ROE,ROCE,DebtEquity,ICR,GrossNPA_Pct,CAR_Pct,RevenueDecline2Yr,PromoterHolding,PromoterPledge,PledgeIncreasing3Qtrs,MarketCap_Cr,AuditorFlag,PromoterSelling,LastUpdated
TATASTEEL,Metals & Mining,False,False,False,15.0,15.0,0.5,3.0,0.0,15.0,False,50.0,0.0,False,10000,False,False,2025-01-01
TCS,Information Technology,False,False,False,15.0,15.0,0.5,3.0,0.0,15.0,False,50.0,0.0,False,10000,False,False,2025-01-01
TECHM,Information Technology,False,False,False,15.0,15.0,0.5,3.0,0.0,15.0,False,50.0,0.0,False,10000,False,False,2025-01-01
TITAN,Consumer Durables,False,False,False,15.0,15.0,0.5,3.0,0.0,15.0,False,50.0,0.0,False,10000,False,False,2025-01-01
TORNTPHARM,Healthcare,False,False,False,15.0,15.0,0.5,3.0,0.0,15.0,False,50.0,0.0,False,10000,False,False,2025-01-01
TVSMOTOR,Automobile and Auto Components,False,False,False,15.0,15.0,0.5,3.0,0.0,15.0,False,50.0,0.0,False,10000,False,False,2025-01-01
ULTRACEMCO,Construction Materials,False,False,False,15.0,15.0,0.5,3.0,0.0,15.0,False,50.0,0.0,False,10000,False,False,2025-01-01
VBL,Fast Moving Consumer Goods,False,False,False,15.0,15.0,0.5,3.0,0.0,15.0,False,50.0,0.0,False,10000,False,False,2025-01-01
VEDL,Metals & Mining,False,False,False,15.0,15.0,0.5,3.0,0.0,15.0,False,50.0,0.0,False,10000,False,False,2025-01-01
VOLTAS,Consumer Durables,False,False,False,15.0,15.0,0.5,3.0,0.0,15.0,False,50.0,0.0,False,10000,False,False,2025-01-01
WIPRO,Information Technology,False,False,False,15.0,15.0,0.5,3.0,0.0,15.0,False,50.0,0.0,False,10000,False,False,2025-01-01
ZEEL,Media Entertainment & Publication,False,False,False,15.0,15.0,0.5,3.0,0.0,15.0,False,50.0,0.0,False,4000,False,True,2025-01-01
